slice,value,n,class_rate,accuracy,roc_auc,auc_gap_vs_global,flag
Age_quartile,"(18.999, 28.0]",51,0.19607843137254902,0.9215686274509803,0.9487804878048782,-0.041319512195121755,False
Age_quartile,"(28.0, 34.0]",52,0.34615384615384615,0.9615384615384616,0.9787581699346405,-0.011341830065359493,False
Age_quartile,"(34.0, 42.0]",51,0.5882352941176471,1.0,1.0,0.00990000000000002,False
Age_quartile,"(42.0, 59.0]",46,0.9130434782608695,1.0,1.0,0.00990000000000002,False
Country_top5,__other__,177,0.5028248587570622,0.9661016949152542,0.9881256384065372,-0.001974361593462759,False
DIU_quartile,"(181.655, 217.93]",50,0.1,0.96,0.9422222222222223,-0.047877777777777686,False
DIU_quartile,"(135.208, 181.655]",50,0.88,0.94,0.962121212121212,-0.027978787878787936,False
DIU_quartile,"(217.93, 258.26]",50,0.02,0.98,1.0,0.00990000000000002,False
Gender,1,93,0.4731182795698925,0.967741935483871,0.9782003710575139,-0.011899628942486085,False
Gender,0,107,0.5233644859813084,0.9719626168224299,0.9985994397759104,0.008499439775910389,False
Income_quartile,"(43541.46, 56094.12]",50,0.6,0.98,0.98,-0.010099999999999998,False
Income_quartile,"(56094.12, 63403.39]",50,0.32,0.96,0.9852941176470588,-0.004805882352941215,False
Income_quartile,"(14548.059, 43541.46]",50,0.88,0.96,0.9886363636363636,-0.0014636363636363336,False
Income_quartile,"(63403.39, 76435.3]",50,0.2,0.98,1.0,0.00990000000000002,False
